DATE: 16/11/2022,  TIME: 0:20:29, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:20:32, VMC:7.37%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:50, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:53, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:55, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:58, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:1, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:4, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:7, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:10, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:13, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:15, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:18, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:21, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:24, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:27, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:30, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:33, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:35, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:38, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:41, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:44, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:47, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:50, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:53, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:55, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:58, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:1, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:4, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:7, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:10, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:13, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:15, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:18, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:21, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:24, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:27, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:30, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:32, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:35, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:38, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:41, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:44, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:47, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:50, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:52, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:19:55, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:49, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:52, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:55, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:58, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:1, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:49, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:52, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:55, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:58, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:1, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:4, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:30, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:30, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:33, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:36, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:39, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:42, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:45, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:47, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:50, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:53, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:56, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:59, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:17:2, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:17:5, VMC:40.85%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:17:7, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:31, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:34, VMC:37.09%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:36, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:39, VMC:48.02%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:42, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:45, VMC:38.79%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:48, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 1:16:51, VMC:75.19%, HUMIDITY: 81.50%,  TEMP: 20.20°C
DATE: 16/11/2022,  TIME: 1:16:54, VMC:0.00%, HUMIDITY: 82.10%,  TEMP: 20.30°C
